relative_position,link,id,name,price,in_stock,page_position,category,change
425,https://www.pokemoncenter-online.com/?p_cd=0191391259402,191391259402,MED SQUARE COSMETIC Pokemon Pink Pouch,5280円,NO,11-25,fashion, Difference: NO used to be YES.  
754,https://www.pokemoncenter-online.com/?p_cd=0202102501748,202102501748,ソフティモ　スピーディ　クレンジングオイル　ピカチュウデザイン,748円,NO,19-34,goods, Difference: NO used to be YES.  
655,https://www.pokemoncenter-online.com/?p_cd=4511546093846,4511546093846,ゲンガー　ウォールライト,3080円,YES,17-15,goods, Difference: YES used to be NO.  
63,https://www.pokemoncenter-online.com/?p_cd=4511546098322,4511546098322,ジラーチ ウォールライト,3080円,YES,2-23,goods, Difference: YES used to be NO.  
1703,https://www.pokemoncenter-online.com/?p_cd=4511546131241,4511546131241,ぺったりフック　ポケモンテール ピカチュウ,1100円,NO,43-23,stationery, Difference: NO used to be YES.  
592,https://www.pokemoncenter-online.com/?p_cd=4511546131302,4511546131302,ぺったりフック　ポケモンテール グレイシア,1100円,YES,15-32,stationery, Difference: YES used to be NO.  
255,https://www.pokemoncenter-online.com/?p_cd=4513266242078,4513266242078,YAKPAK　ミニメッセンジャー　ピカチュウ,6050円,NO,7-15,fashion, Difference: NO used to be YES.  
257,https://www.pokemoncenter-online.com/?p_cd=4513266242092,4513266242092,YAKPAK　ボックスショルダー　ピカチュウ,4180円,NO,7-17,fashion, Difference: NO used to be YES.  
259,https://www.pokemoncenter-online.com/?p_cd=4513266242115,4513266242115,YAKPAK　パスコインケース　ピカチュウ,2640円,NO,7-19,fashion, Difference: NO used to be YES.  
260,https://www.pokemoncenter-online.com/?p_cd=4513266242146,4513266242146,YAKPAK　ボックスショルダー　ゲンガー,4180円,NO,7-20,fashion, Difference: NO used to be YES.  
262,https://www.pokemoncenter-online.com/?p_cd=4513266242160,4513266242160,YAKPAK　パスコインケース　ゲンガー,2640円,NO,7-22,fashion, Difference: NO used to be YES.  
264,https://www.pokemoncenter-online.com/?p_cd=4513266242184,4513266242184,YAKPAK　ポケットショルダー　ミミッキュ,3850円,NO,7-24,fashion, Difference: NO used to be YES.  
267,https://www.pokemoncenter-online.com/?p_cd=4513266242214,4513266242214,YAKPAK　パスコインケース　ミミッキュ,2640円,NO,7-27,fashion, Difference: NO used to be YES.  
23,https://www.pokemoncenter-online.com/?p_cd=4521121206776,4521121206776,AQUA BOTTLE　かがやく水辺のめぐりあい,1210円,YES,1-23,toy, New? couldn't find match
5,https://www.pokemoncenter-online.com/?p_cd=4521121207056,4521121207056,真夜中の不思議な屋敷,1320円,YES,1-5,toy, New? couldn't find match
3298,https://www.pokemoncenter-online.com/?p_cd=4521329117416,4521329117416,全国ずかんメタルチャーム239・125・466,440円,NO,83-18,goods, missing! might have been delisted
