relative_position,link,id,name,price,in_stock,page_position,category,change
394,https://www.pokemoncenter.com/en-ca/product/173-80682/pokemon-tcg-sword-and-shield-rebel-clash-sleeved-booster-pack-10-cards,173-80682,Pokémon TCG: Sword & Shield-Rebel Clash Sleeved Booster Pack (10 Cards),$5.49,NO,5-34,trading-card-game,Difference: NO used to be YES.  
78,https://www.pokemoncenter.com/en-ca/product/182-85146/pokemon-tcg-sword-and-shield-lost-origin-booster-bundle-6-packs,182-85146,Pokémon TCG: Sword & Shield-Lost Origin Booster Bundle (6 Packs),$31.99,NO,1-78,trading-card-game,Difference: NO used to be YES.  
613,https://www.pokemoncenter.com/en-ca/product/699-16830/pokemon-tcg-sun-and-moon-crimson-invasion-clanging-thunder-theme-deck,699-16830,Pokémon TCG: Sun & Moon-Crimson Invasion Clanging Thunder Theme Deck,$16.99,NO,7-73,trading-card-game,Difference: NO used to be YES.  
577,https://www.pokemoncenter.com/en-ca/product/699-16857/pokemon-tcg-sun-and-moon-ultra-prism-mach-strike-theme-deck,699-16857,Pokémon TCG: Sun & Moon-Ultra Prism Mach Strike Theme Deck,$16.99,NO,7-37,trading-card-game,Difference: NO used to be YES.  
493,https://www.pokemoncenter.com/en-ca/product/699-16944/pokemon-tcg-luxury-ball-tin,699-16944,Pokémon TCG: Luxury Ball Tin,$16.99,NO,6-43,trading-card-game,Difference: NO used to be YES.  
259,https://www.pokemoncenter.com/en-ca/product/699-17084/pokemon-tcg-victini-v-battle-deck,699-17084,Pokémon TCG: Victini V Battle Deck,$19.99,NO,3-79,trading-card-game,Difference: NO used to be YES.  
197,https://www.pokemoncenter.com/en-ca/product/699-17115/pokemon-tcg-mewtwo-v-union-special-collection,699-17115,Pokémon TCG: Mewtwo V-UNION Special Collection,$38.99,NO,3-17,trading-card-game,Difference: NO used to be YES.  
5,https://www.pokemoncenter.com/en-ca/product/699-85209/pokemon-tcg-knock-out-collection-galarian-slowking-galarian-obstagoon-and-dragapult,699-85209,New! Pokémon TCG: Knock Out Collection (Galarian Slowking%2C Galarian Obstagoon & Dragapult),$12.99,YES,1-5,new-releases,New? couldn't find match
3,https://www.pokemoncenter.com/en-ca/product/699-85212/pokemon-tcg-paldea-collection-sprigatito,699-85212,New! Pokémon TCG: Paldea Collection (Sprigatito),$25.99,NO,1-3,new-releases,New? couldn't find match
4,https://www.pokemoncenter.com/en-ca/product/699-85213/pokemon-tcg-paldea-collection-fuecoco,699-85213,New! Pokémon TCG: Paldea Collection (Fuecoco),$25.99,NO,1-4,new-releases,New? couldn't find match
