relative_position,link,id,name,price,in_stock,page_position,category,change
8,https://www.pokemoncenter.com/product/183-85104/pokemon-tcg-sword-and-shield-silver-tempest-mini-portfolio-and-booster-pack,183-85104,Pokémon TCG: Sword & Shield-Silver Tempest Mini Portfolio & Booster Pack,$4.99,NO,1-8,trading-card-game, Difference: NO used to be YES.  
1,https://www.pokemoncenter.com/product/183-85105/pokemon-tcg-sword-and-shield-silver-tempest-build-and-battle-box,183-85105,Pokémon TCG: Sword & Shield-Silver Tempest Build & Battle Box,$19.99,YES,1-1,trading-card-game, Difference: Pokémon TCG: Sword & Shield-Silver Tempest Build & Battle Box used to be New! Pokémon TCG: Sword & Shield-Silver Tempest Build & Battle Box.  
33,https://www.pokemoncenter.com/product/183-85108/pokemon-tcg-sword-and-shield-silver-tempest-build-and-battle-stadium,183-85108,Pokémon TCG: Sword & Shield-Silver Tempest Build & Battle Stadium,$59.99,YES,1-33,new-releases, Difference: Pokémon TCG: Sword & Shield-Silver Tempest Build & Battle Stadium used to be New! Pokémon TCG: Sword & Shield-Silver Tempest Build & Battle Stadium.  
4,https://www.pokemoncenter.com/product/210-85115/pokemon-tcg-collector-chest-fall-2022,210-85115,Pokémon TCG: Collector Chest (Fall 2022),$24.99,YES,1-4,trading-card-game, New? couldn't find match
383,https://www.pokemoncenter.com/product/290-80788/pokemon-tcg-trainer-s-toolkit,290-80788,Pokémon TCG: Trainer’s Toolkit,$29.99,YES,5-23,trading-card-game, Difference: YES used to be NO.  
168,https://www.pokemoncenter.com/product/290-80903/pokemon-tcg-dragonite-v-box,290-80903,Pokémon TCG: Dragonite V Box,$19.99,NO,2-78,trading-card-game, Difference: NO used to be YES.  
25,https://www.pokemoncenter.com/product/290-85111/pokemon-tcg-sword-and-shield-ultra-premium-collection-charizard,290-85111,Pokémon TCG: Sword & Shield Ultra-Premium Collection—Charizard,$119.99,YES,1-25,trading-card-game, Difference: YES used to be NO.  
33,https://www.pokemoncenter.com/product/290-85119/pokemon-tcg-infernape-v-box,290-85119,Pokémon TCG: Infernape V Box,$19.99,NO,1-33,trading-card-game, Difference: NO used to be YES.  
661,https://www.pokemoncenter.com/product/699-16830/pokemon-tcg-sun-and-moon-crimson-invasion-clanging-thunder-theme-deck,699-16830,Pokémon TCG: Sun & Moon-Crimson Invasion Clanging Thunder Theme Deck,$12.99,YES,8-31,trading-card-game, Difference: YES used to be NO.  
626,https://www.pokemoncenter.com/product/699-16857/pokemon-tcg-sun-and-moon-ultra-prism-mach-strike-theme-deck,699-16857,Pokémon TCG: Sun & Moon-Ultra Prism Mach Strike Theme Deck,$12.99,YES,7-86,trading-card-game, Difference: YES used to be NO.  
462,https://www.pokemoncenter.com/product/699-16965/pokemon-tcg-premier-ball-tin,699-16965,Pokémon TCG: Premier Ball Tin,$12.99,NO,6-12,trading-card-game, Difference: NO used to be YES.  
350,https://www.pokemoncenter.com/product/699-17038/pokemon-tcg-galar-power-mini-tin-obstagoon-and-galarian-weezing,699-17038,Pokémon TCG: Galar Power Mini Tin (Obstagoon & Galarian Weezing),$8.99,YES,4-80,trading-card-game, Difference: YES used to be NO.  
349,https://www.pokemoncenter.com/product/699-17040/pokemon-tcg-galar-power-mini-tin-toxtricity,699-17040,Pokémon TCG: Galar Power Mini Tin (Toxtricity),$8.99,YES,4-79,trading-card-game, Difference: YES used to be NO.  
347,https://www.pokemoncenter.com/product/699-17041/pokemon-tcg-galar-power-mini-tin-galarian-rapidash,699-17041,Pokémon TCG: Galar Power Mini Tin (Galarian Rapidash),$8.99,YES,4-77,trading-card-game, Difference: YES used to be NO.  
362,https://www.pokemoncenter.com/product/699-17046/pokemon-tcg-v-powers-tin-pikachu-v,699-17046,Pokémon TCG: V Powers Tin (Pikachu V),$24.99,YES,5-2,trading-card-game, Difference: YES used to be NO.  
363,https://www.pokemoncenter.com/product/699-17047/pokemon-tcg-v-powers-tin-eternatus-v,699-17047,Pokémon TCG: V Powers Tin (Eternatus V),$24.99,YES,5-3,trading-card-game, Difference: YES used to be NO.  
361,https://www.pokemoncenter.com/product/699-17048/pokemon-tcg-v-powers-tin-eevee-v,699-17048,Pokémon TCG: V Powers Tin (Eevee V),$24.99,YES,5-1,trading-card-game, Difference: YES used to be NO.  
314,https://www.pokemoncenter.com/product/699-17049/pokemon-tcg-sword-and-shield-vivid-voltage-3-booster-packs-coin-and-vaporeon-promo-card,699-17049,Pokémon TCG: Sword & Shield-Vivid Voltage 3 Booster Packs%2C Coin & Vaporeon Promo Card,$12.99,YES,4-44,trading-card-game, Difference: YES used to be NO.  
315,https://www.pokemoncenter.com/product/699-17050/pokemon-tcg-sword-and-shield-vivid-voltage-3-booster-packs-coin-and-sobble-promo-card,699-17050,Pokémon TCG: Sword & Shield-Vivid Voltage 3 Booster Packs%2C Coin & Sobble Promo Card,$12.99,YES,4-45,trading-card-game, Difference: YES used to be NO.  
282,https://www.pokemoncenter.com/product/699-17055/pokemon-tcg-shining-fates-mini-tin-celebi,699-17055,Pokémon TCG: Shining Fates Mini Tin (Celebi),$8.99,YES,4-12,trading-card-game, Difference: YES used to be NO.  
284,https://www.pokemoncenter.com/product/699-17056/pokemon-tcg-shining-fates-mini-tin-manaphy,699-17056,Pokémon TCG: Shining Fates Mini Tin (Manaphy),$8.99,YES,4-14,trading-card-game, Difference: YES used to be NO.  
285,https://www.pokemoncenter.com/product/699-17057/pokemon-tcg-shining-fates-mini-tin-zarude,699-17057,Pokémon TCG: Shining Fates Mini Tin (Zarude),$8.99,YES,4-15,trading-card-game, Difference: YES used to be NO.  
281,https://www.pokemoncenter.com/product/699-17058/pokemon-tcg-shining-fates-mini-tin-reshiram,699-17058,Pokémon TCG: Shining Fates Mini Tin (Reshiram),$8.99,YES,4-11,trading-card-game, Difference: YES used to be NO.  
283,https://www.pokemoncenter.com/product/699-17059/pokemon-tcg-shining-fates-mini-tin-kyogre,699-17059,Pokémon TCG: Shining Fates Mini Tin (Kyogre),$8.99,YES,4-13,trading-card-game, Difference: YES used to be NO.  
280,https://www.pokemoncenter.com/product/699-17068/pokemon-tcg-shining-fates-premium-collection-shiny-dragapult-vmax,699-17068,Pokémon TCG: Shining Fates Premium Collection (Shiny Dragapult VMAX),$39.99,YES,4-10,trading-card-game, Difference: YES used to be NO.  
193,https://www.pokemoncenter.com/product/699-17115/pokemon-tcg-mewtwo-v-union-special-collection,699-17115,Pokémon TCG: Mewtwo V-UNION Special Collection,$29.99,YES,3-13,trading-card-game, Difference: YES used to be NO.  
101,https://www.pokemoncenter.com/product/699-17144/pokemon-tcg-love-ball-tin,699-17144,Pokémon TCG: Love Ball Tin,$12.99,NO,2-11,trading-card-game, Difference: NO used to be YES.  
21,https://www.pokemoncenter.com/product/699-17149/pokemon-tcg-deoxys-v-battle-deck,699-17149,Pokémon TCG: Deoxys V Battle Deck,$14.99,NO,1-21,trading-card-game, Difference: NO used to be YES.  
22,https://www.pokemoncenter.com/product/699-17150/pokemon-tcg-zeraora-v-battle-deck,699-17150,Pokémon TCG: Zeraora V Battle Deck,$14.99,NO,1-22,trading-card-game, Difference: NO used to be YES.  
106,https://www.pokemoncenter.com/product/699-17164/pokemon-tcg-v-heroes-tin-umbreon-v,699-17164,Pokémon TCG: V Heroes Tin (Umbreon V),$24.99,YES,2-16,trading-card-game, Difference: YES used to be NO.  
