relative_position,link,id,name,price,in_stock,page_position,category,change
2021,https://www.pokemoncenter-online.com/?p_cd=4511546095659,4511546095659,ピカチュウ　ウォールライト,3080円,NO,51-21,goods,Difference: NO used to be YES.  
1689,https://www.pokemoncenter-online.com/?p_cd=4511546131265,4511546131265,ぺったりフック　ポケモンテール ヤドン,1100円,NO,43-9,stationery,Difference: NO used to be YES.  
1690,https://www.pokemoncenter-online.com/?p_cd=4511546131302,4511546131302,ぺったりフック　ポケモンテール グレイシア,1100円,NO,43-10,stationery,Difference: NO used to be YES.  
243,https://www.pokemoncenter-online.com/?p_cd=4513266242122,4513266242122,YAKPAK　ミニメッセンジャー　ゲンガー,6050円,NO,7-3,fashion,Difference: NO used to be YES.  
203,https://www.pokemoncenter-online.com/?p_cd=4513266246052,4513266246052,カジュアル　ウエストポーチ　ピカチュウ＆ロゴ,3080円,NO,6-3,fashion,New? couldn't find match
205,https://www.pokemoncenter-online.com/?p_cd=4513266246069,4513266246069,カジュアル　ショルダーバッグ　ピカチュウ＆ロゴ　縦型,2970円,NO,6-5,fashion,New? couldn't find match
204,https://www.pokemoncenter-online.com/?p_cd=4513266246076,4513266246076,カジュアル　ショルダーバッグ　ピカチュウ＆ロゴ　横型,2750円,NO,6-4,fashion,New? couldn't find match
206,https://www.pokemoncenter-online.com/?p_cd=4513266246083,4513266246083,カジュアル　リュック　ピカチュウ＆ロゴ,7370円,NO,6-6,fashion,New? couldn't find match
183,https://www.pokemoncenter-online.com/?p_cd=4521329210582,4521329210582,ロールクッキー EIEVUI,1296円,NO,5-23,food,Difference: NO used to be YES.  
1643,https://www.pokemoncenter-online.com/?p_cd=4521329245225,4521329245225,ぬいぐるみ Pokémon fit オコリザル,1210円,NO,42-3,toy,Difference: NO used to be YES.  
1665,https://www.pokemoncenter-online.com/?p_cd=4521329245713,4521329245713,ぬいぐるみ Pokémon fit タッツー,1210円,NO,42-25,toy,Difference: NO used to be YES.  
1666,https://www.pokemoncenter-online.com/?p_cd=4521329245874,4521329245874,ぬいぐるみ Pokémon fit オムスター,1210円,NO,42-26,toy,Difference: NO used to be YES.  
1534,https://www.pokemoncenter-online.com/?p_cd=4521329268804,4521329268804,ぬいぐるみ Pokémon fit ドンファン,1210円,NO,39-14,toy,Difference: NO used to be YES.  
1492,https://www.pokemoncenter-online.com/?p_cd=4521329268910,4521329268910,ぬいぐるみ Pokémon fit ベイリーフ,1210円,NO,38-12,toy,Difference: NO used to be YES.  
1502,https://www.pokemoncenter-online.com/?p_cd=4521329269412,4521329269412,ぬいぐるみ Pokémon fit アンノーンC,1210円,NO,38-22,toy,Difference: NO used to be YES.  
1453,https://www.pokemoncenter-online.com/?p_cd=4521329280936,4521329280936,ぬいぐるみ　ヒバニー,1815円,NO,37-13,toy,Difference: NO used to be YES.  
1491,https://www.pokemoncenter-online.com/?p_cd=4521329292298,4521329292298,掛け軸 墨絵列伝 ピカチュウ&レックウザ,3300円,NO,38-11,goods,missing! might have been delisted
1492,https://www.pokemoncenter-online.com/?p_cd=4521329292304,4521329292304,掛け軸 墨絵列伝 エンテイ&スイクン&ライコウ,3300円,NO,38-12,goods,missing! might have been delisted
15,https://www.pokemoncenter-online.com/?p_cd=4521329302935,4521329302935,リーフクッキー ピカチュウ,1296円,YES,1-15,food,Difference: YES used to be NO.  
110,https://www.pokemoncenter-online.com/?p_cd=4521329309620,4521329309620,ロールクッキー MEW,1296円,NO,3-30,food,missing! might have been delisted
117,https://www.pokemoncenter-online.com/?p_cd=4521329311371,4521329311371,ポップソケッツ・グリップ Pokémonロゴ,2200円,YES,3-37,phone,missing! might have been delisted
